Timestamp,Content
13,* boom score predictions cameroon 0 4 brazil and an optimistic croatia 4 2 mexico cmr bra cro mex worldcup2014 * *           thank goodness for pubs with more than one tv get to watch both wc games bra cmr mex cro           *
14,*                           bra vs cmr and cro vs mex games bout to start i wanna watch both matched tho                           * * win or go home for cro win draw or go home for mex anyone think bra will suffer big loss to cam and fail to advance worldcup2014 *
15,*                       watching 1st half of mexico game and 2nd half of brazil v cameroon bra cam mex cro                       * * two classic games bra vs cmr mex vs cro same time its now to switch in between channels or tvs need to watch both at same time *
16,* watching mex vs cro on my tv and bra vs cmr on my phone so i wont have to go back and fourth on the tv vamos mexico vamos brasil * *                  i m following croatia versus mexico in the fifa global stadium cromex worldcup joinin cro mex                   *
17,* cmr will sweat today bra need a win on the other leg cro mex need a 3 point at the end of this day worldcup caferio fifa * *                 s o to bae for keeping me updated on the cro v mex game while i watch the bra v cam game                 *
18,* quite fancy the mex v cro game but i never ever turn down the chance to watch bra surely score a few against a very weak cmr team * *                 kicks off bra vs cam mex vs cro my picks definitely brazil mexico for super 16 round worldcup2014                 *
19,*       mex vs cro and bra cmr worldcup2014 let s go guys im running around to the living room and the bedroom to watch both games       * * in other news mex and cro are still level 8 minutes into the half the central americans sitting back welcoming a croatia push worldcup *
20,* if bra beats cmr 1 0 mex beats cro 3 1 brazil mexico will have to draw lots to determine the 1st 2nd places in the group * *                       fifa worldcup 09 yellow card for ivan rakitic cro croatia 0 0 mexico cromex                        *
21,* who s gonna win cmr bra how bout cro mex come watch the worldcup matches at check center stores goooaaal now playing cmrvbra * *   if bra beats cmr 1 0 mex beats cro 3 1 brazil mexico will have to draw lots to determine the 1st 2nd places in the group   *
22,*        i don t even know why anyone is watching the brasil game no relevance to the group at all bra cmr cro mex         * * if bra beats cmr 1 0 mex beats cro 3 1 brazil mexico will have to draw lots to determine the 1st 2nd places in the group *
23,* watching both games split screen with the sound on cro vs mex purely because clark carlisle is commentating on cmr vs bra itv worldcup * *                rooting for mex but happy to see cro coach one more time let s go mexico crovsmex worldcup worldcup2014                 *
24,* if bra beats cmr 1 0 mex beats cro 3 1 brazil mexico will have to draw lots to determine the 1st 2nd places in the group * *         wishing i was at the beach or watching the world cup games bra cam bravscam mex cro crovsmex no me gusta         *
25,*                          don t know what game to watch channelhopping bra cam cro mex                         * * watching mexico croatia on the tv cameroon brazil on streaming pure world cup fever mex cro mexvscro crovsmex *
26,* i predicted cameroon 0 3 brazil and croatia 2 0 mexico and i neeeed the points cmr bra cro mex * *            wow that was so close mex hit the cross bar of the goal post very close             *
27,*          herrera so unlucky not to put mex in the lead with a fantastic shot from outside the box hitting the bar mex cro 0 0         * * premiere bar watching matchups going on right now brazil mexico croatia all needing results meaningful games bra cro mex worldcup2014 *
28,*                          no goals in the cro v mex game i guess it s still 0 0 in cmr v bra also worldcup                          * * brazil lead 1 0 from neymar mexico also hit the woodwork with herrera coming close to putting mex ahead worldcup cmrvsbra mexvscro *
29,* cro 0 mex 0 on the tv and bra 1 cam 0 on the laptop but itv website not playing fluidly so missed neymar s goal doh worldcup2014 * *        what a strike by peralta wow definitely the game to watch this mex going toe to toe with cro in a winner takes all        *
30,*         cameroon had no defence there change the channel croatia vs mexico is the real game cmr bra cro mex worldcup        * * another mex great opportunity but peralta loses his feet in the box and misses the shot lucky cro crovsmex 0 0 cmrvsbra 0 1 *
31,*                    so many games to watch today good luck have fun bra vs cmr and cro vs mex worldcup                    * * if mex wins with 3 1 and bra stays at 1 0 they ll have to draw lots about 1st 2nd place in the group cromex worldcup2014 *
32,* cro 0 mex 0 on the tv and bra 1 cmr 0 on the laptop but itv website not playing fluidly so missed neymar s goal doh worldcup2014 * *   lovely finish from neymar a dive from the cameroon keeper wouldn t have gone amiss mind you cro v mex the game to watch now    *
33,*          watching these two games at the same time is too much for my eyes to handle mex bra cmr cro          * * with brazil winning and it looks fairly set then croatia must win else mexico will finish 2nd bra cmr cro mex *
34,* cro mex is a more interesting match than bra cam because bra should win 4 goals or to be more specific a hat trick from neymar * *      ugh bra brazil mex mexico both playing at the same time at least i can stream one while watching the other worldcup       *
35,*                         i don t know which game to watch cmr v bra or cro v mex                         * * mex is playing well enough but they re letting cro muscle them away from the ball crovsmex worldcup2014 *
36,*          mex 0 0 cro en recife al minuto 25 y bra 1 0 cmr brasil2014 mundialaldia worldcup          * * i hope cro fans and mex fans realize whoever wins will have to play ned and you will lose that game *
37,* cro 0 vs 0 mex and bra 1 vs 0 cmr worldcup2014 cmr is out cro vs mex is the main game i worry bra will kill cmr today * *            are there even any supporters for cro all i hear is mexico mexico mexico mexico lol worldcup mex           *
38,*                     still 0 0 between cro and mex but cmr has leveled the score with bra 1 1 in the other game                    * * how are people watching bra vs cam when this mex vs cro game has so much riding on it quality match so far regardless of no goals *
39,* how are people watching bra vs cmr when this mex vs cro game has so much riding on it quality match so far regardless of no goals * *                         good grief can you imagine if cameroon win 4 1 cro mex stays 0 0 and brazil go out                        *
40,*   watching mex v cro which is 0 0 not watching bra v cmr which is 1 1 i think i picked the wrong game worldcup2014   * * if brazil don t win this game then either croatia or mexico will win the group if they win the mex cro game worldcup *
41,*         gooaal live world cup group a 27 mins gone cro 0 0 mex cmr matip 26 1 1 bra neymar 17         * * 2 goals in 2 games so far shame they re both in the camvbra game cam 1 1 bra and cro 0 0 mex worldcup *
42,*              bruh trynna watch to watch 2 games at the same time got me fucked up cmr bra mex cro worldcup2014              * * lest we forget cromex still scoreless but there s some great mexican wave action in the crowd mex 2 65 v cro 2 80 draw 2 90 *
43,* as it stands brazil will go through as group leaders with mexico advancing as runners up cmr 1 1 bra mex 0 0 cro kickoff * *  mex fans chanting puto everytime cro s gk takes the goal kick yep they ve been doing to all the opposing gks crovsmex   *
44,*    right now cro 0 0 mex bra 1 1 cmr if cameroon can get a 2nd win and the other game is a draw bra is out    * * watching mexico play reminds me of all the good times i had there as a kid on my grandpas ranch wonderful mex *
45,*           fifaworldcup brasil2014 goal neymar scored for brasil cmr 1 2 bra cro 0 0 mex            * * 2 games on at once twice a day the perfect set up for multi screening cam bra cro mex worldcup2014 *
46,* neymar scores for brazil bra 2 cmr 1 nicer game to watch than cro mex probably more goals at least worldcup * *        goooooooooooooooooooal neymar 35 cmr 1 2 bra cro 0 0 mex brazil2014 worldcup2014 horizonsport        *
47,* good job brazil i m trying to flip between both mex vs cro and the bra vs cam games but the mex is much more intense * *                classement du groupe a 1 neymar 7 pts 2 mex 5 pts 3 cro 3 pts 4 cam 0 pts brazilnoteam                *
48,* these simultaneous games are somewhat annoying watching mex cro but missing all of neymar s goals for bra worldcup * *                    wc2014 cro mex cmr bra 0 0 1 2 neymar putting a halt to a cameroon fightback                    *
49,* neymar plays too good for bra although a bit annoyed the german tv station i m watching cut to cro vs mex game just as brazil scored * *                                neymar just nasty bra 2 cmr 1 39 mex 0 cro 0 39 worldcup2014 worldcup                                 *
50,* refs just missed a clear handball on a corner from cro then give mex a yellow card on the other end brutal worldcup * *        why the hell didn t the ref call a hand ball on that corner kick absolutely horrible worldcup2014 mex        *
51,* with this score both bra mex going to qualify cro must win this game to knock out mexico and take their place on the 2nd round * *       meanw ref misses a blatant handball by cro just outside the box and then in counter attack mex gets a yellow card        *
52,*              group a as it stands team pts gd bra 7 3 mex 5 1 cro 4 2 cam 0 6 worldcup2014              * * feels like i m one of a select few watching the mex v cro game the mexicans are playing some nice stuff *
53,*          oh my gosh i don t wanna watch that soccer game its just out of this world mex cro worldcup2014          * * only just come in after training but going for a bra win and a mex win against cmr and cro worldcup bracmr cromex *
54,* they got goals in bra cam but this mex cro got crazy action it s getting heated hopefully no red cards * *                   bra 2 1 cmr cro 0 0 mex wolrdcup2014 worldcup worldcupprizes fifa                    *
55,*         crovsmex if result stay the same mexico will advance croatia need a win worldcup wctoday cro vs mex          * * with bra leading cmr 2 1 and mex drawing 0 0 with cro as it stands brazil and mexico go through groupa cmrbra cromex *
56,*           excellent very physical game now between mex cro no score yet meanwhile bra s bribe continues to pay up 2 1 over cmr          * * doesn t mex know there s 3 things u don t mess with 1 mother nature 2 mother in laws and 3 mother f ken croatians worldcup stick2futbol *
57,*                                 ht cmr 1 2 bra matip26 neymar 17 35 cro 0 0 mex worldcup2014 groupa                                  * * it s hilarious watching the mexican players who have dived freely when playing usa whining to the ref about croatia s diving mex cro *
58,* half time worldcup2014 group a crovsmex cro 0 0 mex cmrvsbra cmr 1 2 bra worldcup * *         1 more brazil game fjolnir lead 3 0 at ht need 2 goals in cro mex         *
59,*        half time worldcup2014 group a crovsmex cro 0 0 mex cmrvsbra cmr 1 2 bra worldcup         * * ht bra 2 1 cmr mex 0 0 cro good games so far but brazil and mexico going through so far worldcup *
60,* it s half time in both games bra 2 1 cmr mex 0 0 cro these results eliminates croatia brazil and mexico qualify worldcup * *         ht cro 0 0 mex a tense first half ends goalless but good chances coming at both ends cromex worldcup2014         *
61,*      ht in group a bra 2 1 cmr neymar living up to expectation again cro 0 0 mex both teams want the points a tight first half      * * half time at the arena pernambuco in recife cro 0 mex 0 as it stands mexico are still through to the next round worldcup beinbrasil *
62,* ht cmr 1 2 bra cro 0 0 mex intense half in the capital while mex is still second they are off to face ned * *               ht cameroon cam 1 2 bra brasil croatia cro 0 0 mex mexico worldcup2014 brazil               *
63,*                    half time results bra 2 1 cmr brazil advance with win mex 0 0 cro mexico advance with a draw                   * * half time mex 0 0 cro tough physical game being played for a spot in the next round close in possession shots mexico looks better *
64,*             half time scores bra 2 1 cmr and mex 0 0 cro if these scores hold brazil and mexico advance              * * mex cro tied at 0 0 bra up 2 1 as both games head into halftime mex 200 cro 200 draw 140 bra 5000 cmr 2500 draw 1400 *
65,* bra lead cmr 2 1 at half time cro and mex tied 0 0 brazil and mexico advance if scores hold * *         world cup group a halftime cmr 1 2 bra cro 0 0 mex 12sportssetx worldcup2014        *
66,*             neymar two goals mexico and croatia in a slug fest 45 mins to decide it all bra cam mex cro worldcup2014            * * hard to choose bt went bra cmr game good choice so far keeping a close eye on the mex cro game too worldcup brasil2014 football *
67,*         second halves will begin shortly brazil lead cameroon 2 1 and it s 0 0 between croatia and mexico bra cmr cro mex         * * pretty tense 1st half mex cro mexicans dominating the play vatreni definitely need to improve their tactics if they want to score *
68,*           if cmr lose to bra it would be their 7th straight loss in worldcup play mex lost 9 in a row in the 50s brazil590          * * under the current format since 1998 mex would be the 1st team to advance from the group stage with only 1 goal scored if this holds *
69,*                          worldcup2014 group a update ht scores bra 2 neymar 17 34 cmr 1 matip 26 cro 0 mex 0                           * * even game croatia are more dangerous up top what rafa marquez did shouldn t surprise anybody unless you don t watch soccer lol mex cro *
70,* it s 0 0 in the other group a game between cro mex we go 10 1 on olic to break the dealock 18 1 on croatia to win 2 1 inplaywithray * *         fiery 2nd half guaranteed between cro mex with bra not losing one of these are going home crovsmex cmrvsbra worldcup        *
71,*                                               2nd half mex 0 0 cro bra 2 1 cmr worldcup                                               * * yellow card to cro there s no program or specific law aimed at the sexual health needs of youth and adolescents women s srhr worldcup *
72,*         watching bra cam have 2 bets on cro mex 0 1 with either guardado or dos santos as 1st scorer how am i doing          * * 2nd half about to start cmr v bra on sbs radio 3 in portuguese cro v mex on sbs radio 4 in croatian digital radio online app *
73,*                                          second half bra 2 1 cam mex 0 0 cro worldcup                                         * * is it wrong to hope that bra loses and mex and cro tie scoring enough goals to force brasil out of the world cup i want chaos *
74,*   second half is underway cro 0 mex 0 bra 2 cmr 1 worldcup2014  * * 2nd half is underway croatia cro 0 0 mex mexico worldcup cromex *
75,*                                   kick off 2nd half s worldcup bra 2 1 cmr cro 0 0 mex                                   * * 46 0 0 the second half has started between mex and cro croatia must win otherwise mexico will advance to the round of 16 *
76,*  second half is underway at both brasilia and recife cmr 1 2 bra and cro 0 0 mex manoramafifa * * the 2nd half of mex vs cro will be a massacre one goal will change everything come on croatia *
77,*     second half underway bra 2 1 cmr and cro 0 0 mex if things stay as they are bra and mex would advance to the next round     * * worldcup2014 just started watching cro v mex what is a cromex is that a rook in a fajita prob better game than cam v bra anyway *
78,*      47 second half underway as neymar stars with ferdinadinho on for pualinho bra 2 1 cam and mex 0 0 cro worldcup2014      * * 2nd half underway bra will advance as group winners and face chile next as things stand cro still need a win vs mex worldcup *
79,*     do mexico play in two matchs cro 0 0 mex watching neymar is better than watching 22 mexico and croatian players bra 3 1 cmr     * * under the current format since 1998 mex would be the 1st team to advance from the group stage with only 1 goal scored if this holds *
80,*            cro 0 0 mex bra 3 1 cmr brazil and mexico advance if results hold             * * i never saw bra cam as a decent game tonight i d intended to watch mex cro glad i didn t *
81,* still no score between croatia and mexico cro mex mexico would be through on this scoreline and playing the netherlands ned worldcup * *        cmr 1 3 bra game over brazil now safely through tight tense between cro mex this game is on the edge crovsmex camvsbra        *
82,* improbably fred scores bra 3 1 cmr cro v mex remains 0 0 modric to mandzukic appears croatia s route to goal but no score there yet * *                 time to watch cro mex and stream the other match chi will give bra a great game and will beat brazil                *
83,*    sad thought mex playing for a 0 0 draw could advance out of group a scoring only 1 goal in 3gms usa could miss out w 4 goals   * * whilst cro v mex is goalless bra are gubbing cmr 3 1 there are no prizes for guessing which game i am watching stillgottheshirton *
84,*          55 minutes into the games and the scores are cam 1 3 bra mex 0 0 cro worldcup2014           * * bra 3 cmr 1 fred puts in brazil s third the hosts are set to finish top of group a still mex 0 cro 0 *
85,* mex and cro going stale mate draw 0 0 favoring mexico as they are ahead of goal difference of just one cro need a goal badly fifa * *   with bra seemingly home and hosed now my attention is fixed on cro v mex i e a scouting mission for the netherlands next game   *
86,*           tuning into cro x mex much bigger game with bigger implications i think we all know bra is going to win over cmr          * * so a few days ago mex scored two legal goals they got cancelled today bra has not one but two players offside and they get the goal *
87,*                    looks like i picked the right game to watch bra vs cmr has 4 goals total cro vs mex 0 worldcup                   * * cro have started the second half on the front foot without any threats to mex keeper ochoa cro sub kovacic on for vrsaljko crovsmex *
88,*  can cro finally score a goal against mex pretty please go croatia brasil2014 worldcup2014  * * i feel like a crazy person watching mex v cro on tv and bra v cmr on my phone memoesmiheroe *
89,* mexico is insistent here good but croatia are blatantly playing for the counter they need to watch it mex cro mexvscro crovsmex * *     ok it s official bra already won over cmr 3 1 i doubt they ll tie now i m just going to focus on the mex vs cro worldcup    *
90,* mexico advances with a draw but they want a win chicharito is about to check into the match mex cro mexvscro worldcup * *                          worldcup2014 61 second half group a cro 0 0 mex cmr 1 3 bra worldcup                         *
91,*                                        chicharito coming into the game cro 0 mex 0                                         * * javier hernandez on for mex now replacing giovani dos santos still 0 0 with 30 minutes left and cro heading out sport360wc *
92,*          chicharito in first subpar game for dos santos giving chich time to find a goal that would be the dagger mex         * * an hour has been played cro 0 mex 0 cmr 1 bra 3 if these results hold bra tops group a and faces chi mex advances to face ned *
93,*   mexico were robbed there definitely a handball and a penalty wtf cro mex  * * 64th corner mex as it looked like a hand ball on cro and it was missed call *
94,* mex unfortunate not to get a penalty clear handball from cro even hernandez was going nuts trying to convince the referee worldcup * *                 wow mexico just got absolutely robbed with that no call on a hand ball in the box terrible mex cro                 *
95,* mexico has been denied three clear handballs by this referee the latest should ve been a penalty shocking mex cro * *                 what game is this ref watching that s two very obvious hand balls mex cro worldcup                *
96,* cro escape with clear penalty decision with srna using his hands to block a goal bound guardado shot mex furious crovsmex * *                  what the heck i hope mexico wins cuz croatia are playing dirty mex 0 0 cro fifaworldcup                  *
97,* crovsmex game is heating up ref missed a hand ball in the box by a croatian player cro mex worldcup worldcup2014 * *              fuck the referee he s killing mex handball by cro on the area clear penalty for mexico              *
98,*   pretty much two goals now stolen from mexico in this game lmfao this is a fucking joke mex cro mexvscro crovsmex   * * cro cheaters imo croatia had an extra player the stupid referee vamos mex we got thizz worldcup2014 easttenochtitlan *
99,*                               worldcup2014 70 second half group a cro 0 0 mex cmr 1 3 bra worldcup                              * * what s up with the worldcup crovsmex referee 2 terrible obvious missed calls that favored cro if not mex clearly wins the match *
100,*            gooooooool de mex 1 0 cro brasil2014 soccer ball futbol futball pass shoot goal fifa worldcup            * * mexico definitely deserves to win this they should have had a penalty kick for that hand ball mex crovsmex handball *
101,*             goal cro 0 1 mex rafael marquez s header from herrera s corner puts mexico ahead cromex worldcup             * * goal mexico score will go to the round of 16 to face netherlands header off the corner rafa el capitan marquez mex eltri *
102,*   goal cro 0 1 mex rafael marquez s header from herrera s corner puts mexico ahead cromex worldcup  * * rafa marquez legend scores to confirm mex s place in the round of 16 gotta love late goals crovsmex *
103,*              goal cro 0 1 mex rafael marquez s header from herrera s corner puts mexico ahead cromex worldcup joinin              * * mex leads 1 0 over cro after a header by captain marquez cro needs to score 2 goals in 20 minutes to qualify from the group stage *
104,* goal croatia 0 2 mexico guardado 75 crovmex cro mex worldcup * *     game 36 cro 0 1 mex worldcup2014 brasil2014 worldcup     *
105,*          oh my mexico guardado with a beautiful beautiful goal to put mex up 2 0 vs cro mexvscro worldcup oleoleoleole           * * i bloody love the mex coach i hope his team give ned a good game in the next round they are certainly solid defensively worldcup *
106,*                         another goal for mexico cro 0 2 guardado mex crovsmex worldcup worldcup2014                          * * mex leading v cro bra leading v cmr if position remain unchanged then it will be chi v bra mex v ned in round of 16 worldcup *
107,* goal cro 0 2 mex andres guardado doubles mexico s lead on a quick counter attack cromex worldcup joinin  * * so if mex scores one more goal they win the group and it ll be ned v bra in the round of 16 wow worldcup *
108,*                     cro vs mex match 36 worldcup2014 mexico scores their 2nd goal and leads 0 2                      * * mex 2 up against cro and a 2 goal swing would put them top of the group and set up a bra v ned last 16 game worldcup *
109,* bra 3 1 cmr 80 mex 2 0 cro 80 if results hold brazil wins group a and mexico advances * *  goal cro 0 2 mex well done worldcup2014 worldcup crovsmex ssfootball croatia crushed *
110,* so if mex scores one more goal they win the group and it ll be ned v bra in the round of 16 woah im not sure if bra got this worldcup * *                       goalll guardado seals the game with a clinical finish croatia 0 2 mexico worldcup cro mex                       *
111,* chicharito bags one for himself now mex 3 0 cro one more goal and mexico could be topping the group * *           fifaworldcup brasil2014 goal hernandez scored for mexico cmr 1 3 bra cro 0 3 mex          *
112,*    82 goal mexico chicharito scores off the corner and mexico needs one more to top the group 3 0 mex crovmex worldcup    * * chicharitoooooo what a finish by him puts mex up 3 0 vs cro mexico needs 1 more goal to win the group vivamexico worldcup *
113,* in recife mex 3 0 cro means bra now lead group a only on goals scored mexico could go top with one more goal will play chi * *   goal javier hernandez chicharito a smartly worked corner kick routine 3 goals in 10 minutes croatia 0 3 mexico cro mex   *
114,* 3 0 mex one more goal and they top the group provided bra don t score again against cmr a cmr goal also wins mex the group worldcup * *                fifa world cup brazil 2014 gol de mex 3 a 0 cro cmr 1 a 3 bra mexico brasil croacia camerun brasil2014               *
115,*             goals galore bra 4 cmr 1 87 mex 3 cro 0 87 brazil wins group a mexico second worldcup2014 worldcup            * * unlikely that mexico will score two more goals ned vs mex and bra vs chi will most likely be the fixtures for the last 16 *
116,*    goal croatia cro 1 3 mex mexico 86 perisic 72 marquez 75 cuardado 82 hernandez worldcup cromex   * * brazil goalll cmr 1 4 bra mex needs 2 goals to top the group now game on who will meet ned worldcup *
117,* goal croatia have settled the group positions perisic is the first player to score against mexico at the worldcup cro 1 3 mex * *   brazil have scored again and now croatia have as well mexico to face holland in the knockout round mex cro bra cmr ned chi  *
118,*      croatia have now got a red card rebic has been sent off down to 10 men cro 1 3 mex wc2014      * * cro scored a goal which leave sone breathing space for bra at top bra vs chi ned vs mex in round 16 *
119,* red card after getting a great goal back croatia go down to 10 men after rebic sees red cro 1 3 mex brasil2014 worldcup * *    world cup 2014 so far qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro   *
120,* world cup 2014 so far qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro * *         croatia pulls one back to end mexico s clean sheet perisic with the goal cro 1 3 mex worldcup2014          *
121,* world cup 2014 so far qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro * *           guillermo ochoa makes a great save as perisic gets a strong shot away from a cross mex 3 1 cro           *
122,* world cup 2014 so far qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro * *  great that mexico wins with cro 1 3 mex but they will still lose against the netherlands on sunday ned worldcup   *
123,* full time cmr 1 4 bra and cro 1 3 mex so it s bra who finish top with mex 2nd bra v chi and mex to face ned in the last 16 * *         worldcup2014 qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro          *
124,* fts in group a cmr 1 bra 4 cro 1 mex 3 brazil top the group and face chi mexico face ned in the round of 16 * *        full time mex 3 cro 1 mexico advances to play netherlands in the round of 16 crovmex worldcup        *
125,*      ft bra 4 1 cmr mex 3 1 cro so its mexico vs ned brazil vs chi in round of 16     * * full time groupa scores cro 1 3 mex cmr 1 4 bra brazil wins group mexico 2nd worldcup *
126,*    ft cmr 1 4 bra cro 1 3 mex brazil finish top mexico runners up of group a round of 16 bra vs chi mex vs ned    * * worldcup 2014 so far qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro *
127,* worldcup 2014 so far qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro * * ft in group a cro 1 3 mex cmr 1 4 bra brazil win group a and mexico advance saturday bra vs chi sunday mex vs ned *
128,* ft grp a brasil2014 cmr 1 4 bra cro 1 3 mex 1 brazil 2 mexico 3 croatia 4 cameroon round of 16 bra v chi ned v mex good nyt * *          worldcup2014 qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro          *
129,*    world cup 2014 so far qualified for round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro    * * ft cro 1 3 mex and cmr 1 4 bra and brazil is first and mexico second of group a both advance to the round of 16 worldcup *
130,* world cup 2014 so far qualified 4 round of 16 chi col ned crc arg bel bra mex eliminated aus cmr esp eng bih cro * *       group a score table 1 brazil bra 7 5 2 mexico mex 7 3 3 croatia cro 3 0 4 cameroon cmr 0 8 worldcup        *
