ID,EventType,Content
5_68,1,* france 0 1 germany ht shots 7 4 pass completion 76 82 crosses 8 5 take ons 12 1 fra ger  * * in other news the germany france match looks good so far 1 0 in the lead after half time *
5_69,1,*                                          half time called germany 1 france 0 worldcup fravsger                                          * * mats hummels scored his 2nd goal of the tournament to put ger up 1 0 it s the 1st time that fra has trailed in a match at this worldcup *
5_7,1,* not feeling very american this 4th of july then sit back and watch germany france battle it out on the field worldcup ger fra * *             world cup quater final time got france brazil winning two close games tonight worldcup fra ger bra col            *
5_70,0,*                                            ht france fra vs germany ger 0 1 hummels 13                                            * * if france in the second half will play attacking football sever germany germanyvsfrance gerfra gervsfra worldcup worldcup2014 fra *
5_71,1,*          germany lead france 1 0 at half time thanks to goal from mats hummels          * * france 0 1 germany ht shots 7 4 pass completion 76 82 crosses 8 5 take ons 12 1 fra ger *
5_72,1,* half time germany 1 france 0 germans controlling the game with the possession benzema had a good chance to end the half worldcup2014 * *        ht ger lead 1 goal to fra but it s still an open game both team were have a good player for super sub in the 2nd half         *
5_73,0,* time for 2nd half germany look good in possession but with pogba their attack france can score worldcup2014 fra ger fravger * *  germany vs france a big match today germany 1 and france 0 goal what you who will win this game and qualify for semi final *
5_74,1,*                  kick off second half france germany 0 1 frager worldcup quarterfinal fra vs ger                   * * fifa world cup 2014 1st quarter final germany v s france 2nd half time 45 00 germany 1 0 france gerfra fifa joinin *
5_75,1,*                 kick off second half quarter finals world cup fra france vs ger germany 0 1 goal 13 mats hummels                * * ger vs fra the 2nd half is now underway score 1 0 fra will go ballistic in the next 15 mins watch out ger worldcup2014 worldcup *
5_76,1,* refreshed for this half the second half is underway france 0 1 germany fra ger * *       kick off 2nd half quarter final france vs germany worldcup fra ger       *
5_77,1,* fifa world cup 2014 1st quarter final germany v s france 2nd half time 48 00 germany 1 0 france gerfra fifa joinin * *      going for whoever wins fra ger game to win the cup france has m83 and pheonix and germany has bratwurst       *
5_78,0,*      this france v germany game looks to be a slow burner maybe pick up in the second half worldcup2014 fra ger      * * colombia 2 1 brazil germany 1 1 france germany win on penalties argentina 2 0 switzerland netherlands 2 0 costa rica *
5_79,1,* germany 1 france 0 keep scoring keep winning fifaworldcup worldcup germanyvsfrance * * worldcup quarter finals second half is underway fra 0 1 ger mats hummels 13 frager *
5_8,1,*   fra 3 2 ger france get an early lucky goal and germany will be chasing the rest of the game klose müller score though brazil2014  * * tough choice today germany vs france worldcup2014 worldcup soft corner for both let destiny decide the winner may d better team win *
5_80,0,*                        first quater final france vs germany 2nd half 50 minutes complete fra 0 ger 1 fifaworldcup                        * * i m following france versus germany in the fifa global stadium frager worldcup give us a 2nd goal n we vl relax n cheer aloud all we got *
5_81,0,*      1 849 846 0679 live blog germany 1 france 0 in what is on paper the most evenly matched game of the round boy_swag      * * really wanna see fra stage a comeback in this game looking forward to an intense second half frager fra 0 1 ger worldcup2014 *
5_82,1,* brazil2014 worldcup france fra 0 1 germany ger lloris with a poor punch but a foul given for nothing but his own player impeding him * *            watching france v germany at footie is like aus v sa in cricket don t care who wins as long as one of em loses            *
5_83,0,* i m torn i want germany to win the cup but i also want france to win i don t think i m gonna make it till the end of the match fravsger * *              clear hand ball to dilo na referee france ke after half time germany leading by 1 0 watching france vs germany             *
5_84,1,* fifa worldcup 55 yellow card for sami khedira ger germany 1 0 france frager * * 54 first booking of the game for germany s sami khedira fra 0 1 ger kickoff *
5_85,1,* germany snapping with intent at the gates of france s box scary stuff but france break yellow for khedira worldcup fra ger * *     fifa world cup 2014 1st quarter final germany v s france 2nd half time 56 00 germany 1 0 france gerfra fifa joinin     *
5_86,0,*   fifa 1st quarter final france vs germany 2nd half time 55 minuts fra 0 ger 1 rizwan khan   * * please please france dont score balik kampung let my germany win world cup this year kthxbai *
5_87,0,* fra 0 1 ger hummels is the difference so far but france have exposed germany a few times worldcup fravsger * *             watching the germany france game cheering for blaise matuidi karim benzema s team              *
5_88,0,*                                  nice match ger 1 fra 0 after 58 minutes watching france vs germany                                 * * odd that i want france to win over germany but i just hate müller and the rest of the bayern munich players so much frager worldcup *
5_89,0,* gervsfra ger vs fra 1 0 france don t loose hope germany go for another goal we want more stress worldcup worldcup2014 * *   fifa world cup 2014 1st quarter final germany v s france 2nd half time 60 00 germany 1 0 france gerfra fifa joinin  *
5_9,1,*     france vs germany a game between my two least favourite countries i hope no one wins ever fra ger     * * world cup quarter finals time france v germany come on germany send the france home worldcup2014 fravsger *
5_90,1,* fifa worldcup 61 manuel neuer ger makes another great save germany 1 0 france frager * *   lawd france score a goal so this game can get really competitive neutral ger fra   *
5_91,0,*  if germany score now they will win 3 0 and if france equalize germany will win 2 1 you heard it here  * * varane with france s best chance of the game straight at neuer though still 1 0 to the germans fra ger *
5_92,0,*            it s only a matter of time before france score ffs germany get ur head in the game fra ger            * * if the germans keep playing like this they don t deserve to win step it up germany worldcup esp fra ger fravsger *
5_93,0,* login now and win www t1t us kuiswelfeast world cup cameramen hummels 13 france 0 1 germany tanyagurukepo vertical limit mtvclash * *           to be honest france have played well against teams no where near germany s quality time to step it up fra ger           *
5_94,1,*    fifa world cup 2014 1st quarter final germany v s france 2nd half time 65 00 germany 1 0 france gerfra fifa joinin   * * worldcup worldcup2014 fra ger frager fravsger 0 1 so far toni kroos put in an awesome free kick and mats hummels scored *
5_95,0,*                        fifa 1st quarter final france vs germany 2nd half time 65 minuts fra 0 ger 1 rizwan khan                        * * i m following france versus germany in the fifa global stadium frager worldcup germany play wide game space are all there just take it *
5_96,1,* 66 fra 0 1 ger germany not nearly as impressive going forward following the goal france getting into dangerous areas but service dismal * *                            can t watch the game even germany scored i still support france go france fravsger                           *
5_97,1,* brazil2014 worldcup france fra 0 1 germany ger the fans aren t happy with the game at the moment pedestrian pace at the moment * *                      france vs germany 0 3 is germany going be the first world cup team to score 4 goals                       *
5_98,1,* germany make the first change veteran miroslav klose makes way for andre schurrle in the 69th min fra 0 1 ger worldcup * *        i hope that france wins but germany is a really god team and they have won a lot of their games fravsger        *
5_99,0,*   watching france play germany is like watching arsenal play arsenal boring and lifeless worldcup2014 fra ger    * * no record breaking goal for miroslav klose today as andre schurrle replaces him 69 minutes gone still 1 0 to ger *
